platform_category,objective,product_number_type,campaign_count,total_campaign_duration_days,typical_campaign_duration,confidence_tier,streaming_attribution_quality,trackable_campaign_proportion,any_overlap_count,total_spend,spend_per_day,impressions,reach,video_views,link_clicks,conversions,interactions,comments,likes,reactions,shares,follows,total_awareness_metrics,awareness_per_day,total_traffic_metrics,traffic_per_day,total_engagement_metrics,engagement_per_day,cpm,cost_per_click,cost_per_1000_engagements,engagement_rate_pct,click_through_rate_pct,conversion_rate_pct,baseline_streams_14day_pre,streams_during_campaign,streams_10day_post,campaign_daily_streams,overlap_ratio_baseline,overlap_ratio_during,overlap_ratio_decay
instagram,traffic,Track URI,36,619,15.0,A_reliable,high_noise,1.0,2.111111111111111,23487.485549869,37.94424159914217,3962327,26720,187534,94781,4653,1171828,195,0,54339,7,0,4149861,6704.137318255251,99434,160.63651050080776,1171828,1893.0985460420031,5.927699947497771,0.24780795254184912,20.043458212185577,29.574237562927035,2.3920539622297703,4.909211761851004,569898.4285714285,26872414.0,17715345.0,43412.62358642973,0.22420634920634921,1.615508885298869,0.44722222222222224
instagram,traffic,URL,15,132,8.0,A_reliable,not_applicable,0.0,1.2,8368.798297342,63.39998710107576,1314168,23343,60954,25592,1011,263591,83,0,16365,1,0,1375122,10417.59090909091,26603,201.53787878787878,263591,1996.9015151515152,6.368134285222285,0.32700837360667395,31.749180728257034,20.05763342281961,1.9473918098751455,3.9504532666458267,62855.07142857143,354653.0,80998.0,2686.7651515151515,0.6,1.1893939393939394,0.5266666666666666
snapchat,awareness,Playlist URI,1,32,32.0,C_exploratory,not_applicable,0.0,1.0,449.85759996,14.05804999875,351468,70526,33551,0,0,0,0,0,0,0,0,385019,12031.84375,0,0.0,0,0.0,1.2799389986001573,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,1.6
snapchat,awareness,Track URI,1,36,36.0,C_exploratory,no_streams,1.0,2.0,2468.8,68.57777777777778,501414,221551,43053,1227,0,0,0,0,0,0,0,544467,15124.083333333334,1227,34.083333333333336,0,0.0,4.923675844711157,2.0120619396903017,,0.0,0.24470796587251253,0.0,0.0,0.0,0.0,0.0,0.0,1.0277777777777777,1.0
snapchat,traffic,Album URI,3,110,36.0,B_indicative,not_applicable,0.0,3.3333333333333335,1899.448169618,17.26771063289091,217141,6190,16249,3509,0,0,0,0,0,0,0,233390,2121.7272727272725,3509,31.9,0,0.0,8.747533490303535,0.5413075433508122,,0.0,1.6160006631635664,0.0,0.0,0.0,0.0,0.0,1.3571428571428572,1.8818181818181818,0.3333333333333333
snapchat,traffic,Playlist URI,3,101,34.0,B_indicative,not_applicable,0.0,1.6666666666666667,1760.169078012,17.4274166139802,286756,23058,26144,3358,0,0,0,0,0,0,0,312900,3098.019801980198,3358,33.24752475247525,0,0.0,6.138211852627321,0.5241718517010125,,0.0,1.1710304230774595,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,1.1386138613861385,1.6
snapchat,traffic,Track URI,3,94,36.0,B_indicative,high_noise,1.0,3.0,1348.3244451609999,14.34387707618085,120354,2924,10229,2581,0,0,0,0,0,0,0,130583,1389.1808510638298,2581,27.45744680851064,0,0.0,11.202988227736508,0.5224038919647422,,0.0,2.1445070375724944,0.0,75127.35714285714,3912972.0,418008.0,41627.36170212766,0.0,1.6808510638297873,0.3333333333333333
tiktok,engagement,Album URI,1,64,64.0,C_exploratory,not_applicable,0.0,4.0,934.65300002,14.6039531253125,1013775,93595,1006760,3961,0,0,38,2077,0,35,198,2020535,31570.859375,3961,61.890625,2348,36.6875,0.9219530961209341,0.23596389801060338,398.06345827086886,0.2316095780621933,0.3907178614584104,0.0,0.0,0.0,0.0,0.0,2.357142857142857,0.90625,0.0
tiktok,engagement,Track URI,1,14,14.0,C_exploratory,high_noise,1.0,1.0,1124.64400004,80.33171428857143,480993,36247,479480,1757,0,0,23,8310,0,34,233,960473,68605.21428571429,1757,125.5,8600,614.2857142857143,2.3381712416604814,0.6400933409447923,130.77255814418606,1.787967808263322,0.36528598129286705,0.0,55249.142857142855,860440.0,0.0,61460.0,1.4285714285714286,0.7857142857142857,0.0
tiktok,reach,Album URI,1,45,45.0,C_exploratory,not_applicable,0.0,0.0,449.82386068,9.99608579288889,630420,27787,628535,1092,0,0,17,2793,0,10,34,1258955,27976.777777777777,1092,24.266666666666666,2854,63.422222222222224,0.7135304411027569,0.4119266123443223,157.61172413454798,0.45271406364011296,0.173217854763491,0.0,715595.7857142857,27355338.0,2246358.0,607896.4,0.0,0.0,0.0
