campaign_id,platform_category,canonical_artist,canonical_product,objective,project_no,product_number_type,campaign_start_date,spend,impressions,reach,video_views,link_clicks,interactions,comments,likes,reactions,shares,follows,conversions,campaign_end_date,campaign_duration_days,total_awareness_metrics,total_traffic_metrics,total_engagement_metrics,streams_during_campaign,streams_10day_post,baseline_streams_14day_pre,streaming_trackable,baseline_start,baseline_end,during_start,during_end,decay_start,decay_end,overlap_days_baseline,overlap_days_during,overlap_days_decay,overlap_ratio_baseline,overlap_ratio_during,overlap_ratio_decay,any_overlap_count
157858920231,instagram,Pete_Dayton,Money,traffic,511622323131,Album URI,2023-02-14,281.02604272,64739,4974,1161,898,10563,1,0,387,0,0,39,2023-03-01,16,65900,937,10563,0.0,0.0,0.0,non_track,2023-01-31,2023-02-13,2023-02-14,2023-03-01,2023-03-02,2023-03-11,0.0,6.0,1.0,0.0,0.375,0.1,1
157858920231,instagram,Pete_Dayton,Town_of_Twin_Peaks,traffic,511622323131,Album URI,2023-01-27,281.161,66237,9280,882,411,4153,0,0,0,0,0,29,2023-02-06,11,67119,440,4153,0.0,0.0,0.0,non_track,2023-01-13,2023-01-26,2023-01-27,2023-02-06,2023-02-07,2023-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0
157858920231,instagram,Pete_Dayton,Watching_Eyes,traffic,511622323131,Track URI,2023-02-24,187.88302664,34509,10247,1867,819,10637,1,0,127,0,0,7,2023-03-05,10,36376,826,10637,2204652.0,2254135.0,19082.071428571428,track,2023-02-10,2023-02-23,2023-02-24,2023-03-05,2023-03-06,2023-03-15,0.0,7.0,0.0,0.0,0.7,0.0,1
157858920231,instagram,Pete_Martell,Blue_Hour,traffic,768614100368,Playlist URI,2023-01-29,6746.222017491,1845540,28293,15624,15322,123215,0,0,1855,0,0,3765,2023-03-31,62,1861164,19087,123215,0.0,0.0,0.0,non_track,2023-01-15,2023-01-28,2023-01-29,2023-03-31,2023-04-01,2023-04-10,63.0,382.0,0.0,4.5,6.161290322580645,0.0,7
157858920231,instagram,Pete_Martell,Bus_Ride,traffic,768614100368,Playlist URI,2023-01-16,8927.851435425,1763515,39671,17295,16683,161392,4,0,796,0,0,955,2023-03-31,75,1780810,17638,161392,0.0,0.0,0.0,non_track,2023-01-02,2023-01-15,2023-01-16,2023-03-31,2023-04-01,2023-04-10,0.0,445.0,0.0,0.0,5.933333333333334,0.0,8
157858920231,instagram,Pete_Martell,No_hay_orquestra,traffic,768614100368,Playlist URI,2023-01-23,3791.343619476,1153847,20331,11659,17795,121085,8,0,3719,0,0,7603,2023-03-31,68,1165506,25398,121085,0.0,0.0,0.0,non_track,2023-01-09,2023-01-22,2023-01-23,2023-03-31,2023-04-01,2023-04-10,28.0,417.0,0.0,2.0,6.132352941176471,0.0,8
157858920231,instagram,Pete_Martell,White_Noise,traffic,768614100368,Playlist URI,2023-01-16,7162.419033769,1975530,35861,18203,15996,127580,1,0,855,0,0,3255,2023-03-27,71,1993733,19251,127580,0.0,0.0,0.0,non_track,2023-01-02,2023-01-15,2023-01-16,2023-03-27,2023-03-28,2023-04-06,0.0,433.0,12.0,0.0,6.098591549295775,1.2,8
157858920231,instagram,Phillip_Jeffries,You_and_I,traffic,690884148856,Track URI,2023-02-28,281.09352136,52392,4046,1714,1282,12468,0,0,622,0,0,93,2023-03-19,20,54106,1375,12468,173255.0,65927.0,3985.6428571428573,track,2023-02-14,2023-02-27,2023-02-28,2023-03-19,2023-03-20,2023-03-29,0.0,11.0,0.0,0.0,0.55,0.0,1
157858920231,instagram,Piter_De_Vries,Shortcut,traffic,53466793668,Track URI,2023-01-21,281.09352136,58650,6458,2291,847,12123,4,0,483,0,0,43,2023-02-04,15,60941,890,12123,32601.0,18068.0,1214.9285714285713,track,2023-01-07,2023-01-20,2023-01-21,2023-02-04,2023-02-05,2023-02-14,0.0,10.0,0.0,0.0,0.6666666666666666,0.0,1
157858920231,instagram,Princess_Irulan,Snake_Eyes_Roll,traffic,677350752542,Track URI,2023-02-14,625.516521188,119225,11446,4970,3105,30509,10,0,563,0,0,60,2023-03-07,22,124195,3165,30509,191950.0,66556.0,2049.714285714286,track,2023-01-31,2023-02-13,2023-02-14,2023-03-07,2023-03-08,2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0
157858920231,instagram,Renee_Madison,Woodsmen,traffic,334421042373,Track URI,2023-02-21,281.09352136,61272,7156,852,520,6150,0,0,66,0,0,0,2023-03-03,11,62124,520,6150,110156.0,85603.0,5934.928571428572,track,2023-02-07,2023-02-20,2023-02-21,2023-03-03,2023-03-04,2023-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0
157858920231,instagram,Rita,Slow_Motion,traffic,793945412189,Album URI,2023-02-19,559.53288289,82117,39707,2267,928,12316,2,0,163,0,0,87,2023-02-24,6,84384,1015,12316,287202.0,245780.0,37532.642857142855,non_track,2023-02-05,2023-02-18,2023-02-19,2023-02-24,2023-02-25,2023-03-06,0.0,1.0,0.0,0.0,0.16666666666666666,0.0,1
157858920231,instagram,Sailor_Ripley,Premonition,traffic,965988138346,Playlist URI,2023-01-27,1686.69608544,493749,25368,9465,3000,94042,25,0,6751,0,0,125,2023-02-15,20,503214,3125,94042,2639005.0,626984.0,59610.92857142857,non_track,2023-01-13,2023-01-26,2023-01-27,2023-02-15,2023-02-16,2023-02-25,0.0,36.0,10.0,0.0,1.8,1.0,3
157858920231,instagram,Sailor_Ripley,Trinity_Test,traffic,229785770598,Album URI,2023-03-01,1648.773089756,265033,4234,9100,9154,76317,4,0,1647,0,0,431,2023-03-31,31,274133,9585,76317,0.0,0.0,0.0,non_track,2023-02-15,2023-02-28,2023-03-01,2023-03-31,2023-04-01,2023-04-10,0.0,31.0,0.0,0.0,1.0,0.0,1
